이름	Knox ID	부서	연락처	가입 날짜	회원 등급	역할	비고
오수현	oh.suhyun	마케팅팀	010-1111-2222	2022-03-15	정회원	일반	
배지호	bae.jiho	개발팀	010-1111-2223	2022-07-01	정회원	일반	
한소율	han.soyul	인사팀	010-1111-2224	2022-09-10	정회원	일반	
서준혁	seo.junhyuk	영업팀	010-1111-2225	2023-01-05	정회원	일반	
임가은	lim.gaeun	디자인팀	010-1111-2226	2023-02-14	정회원	일반	
조은우	jo.eunwoo	재무팀	010-1111-2227	2023-04-20	정회원	일반	
신유나	shin.yuna	마케팅팀	010-1111-2228	2023-05-30	정회원	일반	
권도현	kwon.dohyun	개발팀	010-1111-2229	2023-06-11	정회원	일반	
홍서아	hong.seoa	인사팀	010-1111-2230	2023-08-19	정회원	일반	
문지훈	moon.jihoon	영업팀	010-1111-2231	2023-09-25	정회원	일반	
백하린	baek.harin	디자인팀	010-1111-2232	2023-11-02	정회원	일반	
황민재	hwang.minjae	재무팀	010-1111-2233	2024-01-08	정회원	일반	
남지우	nam.jiwoo	개발팀	010-1111-2234	2024-02-17	정회원	일반	
유채원	yoo.chaewon	마케팅팀	010-1111-2235	2024-03-22	정회원	일반	
손재영	son.jaeyoung	영업팀	010-1111-2236	2024-05-06	정회원	일반	
오하늘	oh.haneul	인사팀	010-1111-2237	2024-06-14	정회원	일반	휴면 회원 검토 필요
정우진	jeong.woojin	개발팀	010-1111-2238	2024-08-01	정회원	일반	
김나윤	kim.nayoon	디자인팀	010-1111-2239	2024-09-09	정회원	일반	
이태양	lee.taeyang	재무팀	010-1111-2240	2024-11-20	정회원	일반	
박세은	park.seeun	마케팅팀	010-1111-2241	2025-01-15	정회원	일반	신입 회원
